energy	u235_fission	u235_capture	u238_fission	u238_capture
151710	1.41828	0.339031	0.000171693	0.142418
160570	1.40783	0.329843	2.18e-05	0.139004
169948	1.39676	0.320883	2.18e-05	0.136096
179873	1.38021	0.310842	2.18e-05	0.133018
190379	1.36418	0.301189	2.18e-05	0.13062
201497	1.3489	0.29183	8.8e-05	0.128163
213266	1.33357	0.281728	8.8e-05	0.126031
225721	1.31878	0.271969	8.8e-05	0.123775
238904	1.30766	0.263343	8.8e-05	0.121813
252857	1.28614	0.252933	8.8e-05	0.119952
267625	1.25451	0.240892	8.8e-05	0.118238
283255	1.23419	0.2314	8.8e-05	0.116674
299798	1.23005	0.225163	8.8e-05	0.11502
317308	1.23	0.219374	0.000138188	0.114308
335840	1.22696	0.213004	0.000164837	0.113913
355454	1.22082	0.206403	0.000193872	0.113582
376214	1.21247	0.199639	0.00022688	0.112756
398186	1.2028	0.192855	0.000249631	0.111965
421442	1.19171	0.185729	0.0002758	0.1113
446055	1.16996	0.177188	0.000284151	0.110695
472107	1.15276	0.169703	0.000308805	0.109893
499679	1.14113	0.163236	0.000375623	0.109306
528863	1.13362	0.156794	0.000522502	0.109766
559750	1.12473	0.15038	0.000649423	0.110166
592442	1.11938	0.144705	0.000774377	0.111023
627042	1.11834	0.139829	0.00103344	0.113842
663664	1.11692	0.134952	0.0013453	0.116793
702424	1.11343	0.130005	0.00175855	0.118915
743449	1.1122	0.125357	0.00246171	0.119161
786869	1.11053	0.120791	0.00388435	0.120159
832825	1.1123	0.116799	0.00624123	0.121288
881465	1.12841	0.114354	0.0109788	0.122392
932946	1.16347	0.111811	0.0156447	0.124447
987433	1.19835	0.108814	0.0147508	0.125383
1.0451e+06	1.1955	0.105526	0.0192483	0.120229
1.10614e+06	1.19414	0.102254	0.03126	0.113416
1.17074e+06	1.19767	0.0991141	0.0402956	0.104113
1.23912e+06	1.20141	0.0959703	0.0400264	0.0942668
1.31149e+06	1.20938	0.0922172	0.0757765	0.0867561
1.38808e+06	1.21857	0.0884902	0.167961	0.0793518
1.46915e+06	1.22813	0.0849122	0.313357	0.0732901
1.55496e+06	1.23821	0.0807724	0.401677	0.067198
1.64577e+06	1.24771	0.076358	0.437431	0.0621691
1.74189e+06	1.25655	0.0721367	0.466311	0.0583243
1.84363e+06	1.26397	0.0668642	0.492906	0.0538405
1.9513e+06	1.26909	0.0616759	0.516234	0.0485106
2.06526e+06	1.27091	0.0565318	0.532505	0.0433263
2.18588e+06	1.27001	0.0513615	0.538733	0.0382
2.31355e+06	1.26207	0.0469298	0.538078	0.0339665
2.44867e+06	1.2532	0.0426313	0.536205	0.02974
2.59168e+06	1.2447	0.0379786	0.532987	0.0254497
2.74304e+06	1.22832	0.0335446	0.528652	0.0218385
2.90324e+06	1.21116	0.0295244	0.521322	0.01859
3.07281e+06	1.19448	0.0258282	0.51782	0.015839
3.25227e+06	1.17842	0.0221918	0.522882	0.0134701
3.44221e+06	1.16142	0.0183431	0.52972	0.0109628
3.64325e+06	1.14538	0.0152082	0.536795	0.00896804
3.85603e+06	1.13591	0.0128209	0.543657	0.00713814
4.08124e+06	1.12489	0.0106168	0.548511	0.00549381
4.3196e+06	1.11135	0.00888878	0.549131	0.00430202
4.57188e+06	1.09794	0.00723279	0.548666	0.00321024
4.83889e+06	1.07813	0.00607101	0.543944	0.00250533
5.1215e+06	1.05704	0.00511448	0.541453	0.00197065
5.42062e+06	1.04332	0.00437566	0.547222	0.00170145
5.7372e+06	1.04038	0.00380272	0.568264	0.00152089
6.07227e+06	1.12857	0.00334026	0.640813	0.00138121
6.42692e+06	1.30756	0.00297941	0.791644	0.001289
6.80227e+06	1.46816	0.00269948	0.904512	0.00119141
7.19955e+06	1.60645	0.00248497	0.958725	0.00111605
7.62003e+06	1.71253	0.00233097	0.985645	0.0010656
8.06507e+06	1.76312	0.00223304	0.994346	0.00102195
8.5361e+06	1.77928	0.00218258	0.999848	0.00103608
9.03464e+06	1.76901	0.00216232	0.997515	0.00105589
9.5623e+06	1.75397	0.00215679	0.991658	0.00114559
1.01208e+07	1.73913	0.0021408	0.986341	0.00122121
1.07119e+07	1.72755	0.00205282	0.984095	0.00122712
1.13375e+07	1.71859	0.00190039	0.983337	0.001203
1.19996e+07	1.73469	0.00174345	0.984999	0.00115003
1.27004e+07	1.85062	0.00161942	1.00461	0.00105894
1.34422e+07	1.97086	0.00143507	1.06474	0.000958092
1.42273e+07	2.06909	0.00110339	1.14159	0.000841363
1.50582e+07	2.089	0.000775232	1.20157	0.000702433
1.59377e+07	2.089	0.000555894	1.25548	0.000588104
1.68685e+07	2.04757	0.000435167	1.25652	0.000475783
1.78537e+07	1.98453	0.000365507	1.2503	0.000400244
1.88964e+07	1.93688	0.00032041	1.29062	0.000336217
2e+07	1.9343	0.000287261	1.3521	0.00031
